ciclo;timestamp;profile;blocks;headers;verificationprogress;cpu_percent;mem_percent;disk_used_MB;net_rx_kB;net_tx_kB
178;2025-07-31 04:02:53;lightning;531826;907888;0.2684893853224438;36,5;13,13;25424;9809206801;35030665
179;2025-07-31 04:03:54;lightning;532846;907888;0.2696612157891685;52,4;14,50;25093;9810111742;35033252
180;2025-07-31 04:04:54;lightning;533989;907888;0.2709344121993549;38,7;13,19;25556;9810948325;35035613
181;2025-07-31 04:05:58;lightning;534870;907888;0.2719589937239737;44,3;12,82;25189;9812137924;35040638
182;2025-07-31 04:07:00;lightning;536351;907888;0.2735861558394126;40;13,03;25404;9812972036;35043712
183;2025-07-31 04:08:01;lightning;537399;907889;0.2748221657686938;36,5;14,28;25160;9814009815;35048378
184;2025-07-31 04:09:02;lightning;538821;907889;0.2763760007063267;34,4;14,62;25237;9814746878;35050485
185;2025-07-31 04:10:04;lightning;539895;907889;0.2776988697932959;36,5;13,81;25286;9815705780;35053428
186;2025-07-31 04:11:11;lightning;540934;907889;0.2790176160219074;37,5;13,19;25005;9816577720;35056020
187;2025-07-31 04:12:13;lightning;541960;907889;0.2803409160877327;34,9;13,89;25297;9817789477;35062216
188;2025-07-31 04:13:14;lightning;543300;907889;0.2821098427809846;36,5;12,94;25792;9818534892;35063513
189;2025-07-31 04:14:14;lightning;544424;907889;0.2835625556182857;37,1;13,09;25174;9819472194;35066593
190;2025-07-31 04:15:14;lightning;545495;907889;0.2850935742946411;39,1;13,02;25561;9820497011;35069450
191;2025-07-31 04:16:18;lightning;546431;907889;0.2864141434709634;36,5;13,28;25305;9821494049;35073309
192;2025-07-31 04:17:21;lightning;547314;907889;0.2876862674511557;38,1;13,72;25268;9822324206;35075257
193;2025-07-31 04:18:22;lightning;548242;907889;0.2890061141463586;29;12,85;25015;9823373568;35078373
194;2025-07-31 04:19:23;lightning;549097;907889;0.290359421423883;36,5;13,82;25156;9824260488;35081153
195;2025-07-31 04:20:24;lightning;549956;907889;0.291844064491783;21,9;13,03;24742;9825024478;35083175
196;2025-07-31 04:21:24;lightning;550822;907889;0.293329546273596;42,2;12,93;25234;9826079637;35086321
197;2025-07-31 04:22:24;lightning;551645;907889;0.2947617002299142;39,1;13,47;25439;9826909930;35087806
198;2025-07-31 04:23:25;lightning;552321;907889;0.2959450352764823;36,5;13,06;25272;9827674207;35088972
199;2025-07-31 04:24:25;lightning;553098;907889;0.2972325160182414;37,5;13,14;25266;9828861688;35092105
200;2025-07-31 04:25:25;lightning;554024;907889;0.2987198576318759;40,6;14,39;25066;9829714678;35094027
201;2025-07-31 04:26:26;lightning;555085;907889;0.3003434717131848;37,1;14,24;25513;9830608602;35096729
202;2025-07-31 04:27:26;lightning;556134;907889;0.3018573817507267;36,5;13,73;25187;9831566872;35099601
203;2025-07-31 04:28:32;lightning;557250;907889;0.3034203666403438;35,5;13,13;25107;9832560809;35102456
204;2025-07-31 04:29:32;lightning;558445;907889;0.3053619011606623;37,1;13,06;25398;9833661940;35105970
205;2025-07-31 04:30:33;lightning;559378;907889;0.3070248020184301;39,1;13,06;25541;9834702624;35108568
206;2025-07-31 04:31:33;lightning;560347;907890;0.3086583844967882;37,1;12,80;25171;9835847081;35113406
207;2025-07-31 04:32:34;lightning;561366;907890;0.310502531547102;40,3;14,37;25199;9836765978;35116559
208;2025-07-31 04:33:38;lightning;562333;907890;0.3122172071360193;37,5;12,98;25502;9837619913;35119589
209;2025-07-31 04:34:40;lightning;563100;907890;0.3136344242002847;38,1;14,17;25398;9838808718;35125269
210;2025-07-31 04:35:41;lightning;563789;907890;0.3148714494316474;23,4;12,31;26015;9840212623;35131402
211;2025-07-31 04:36:41;lightning;564867;907891;0.3169348211912928;37,5;13,15;25160;9840494061;35132172
212;2025-07-31 04:37:41;lightning;565669;907891;0.3184809414810407;40,6;14,48;24924;9841301860;35132926
213;2025-07-31 04:38:42;lightning;566667;907891;0.3200550933274837;39,1;14,27;25518;9842336521;35134104
214;2025-07-31 04:39:42;lightning;567525;907891;0.321351121361278;40,6;13,09;25423;9843162967;35135083
215;2025-07-31 04:40:42;lightning;568412;907891;0.3227021801418095;36,5;13,07;24954;9844014264;35135927
216;2025-07-31 04:41:43;lightning;569323;907892;0.3244027747605976;39,1;13,22;25562;9845024610;35137969
217;2025-07-31 04:42:43;lightning;570191;907892;0.3262759944113486;37,1;13,87;25497;9846094386;35140069
218;2025-07-31 04:43:43;lightning;570933;907892;0.3278136015412292;37,5;14,76;25214;9847020543;35141161
219;2025-07-31 04:44:43;lightning;571788;907892;0.3296578803132486;35,9;14,73;25203;9848062089;35142639
220;2025-07-31 04:45:44;lightning;572496;907893;0.3311204762404429;39,7;13,51;25274;9848980157;35143974
221;2025-07-31 04:46:44;lightning;573138;907893;0.3324300702455885;20,6;12,99;24985;9849738121;35145416
222;2025-07-31 04:47:44;lightning;573859;907893;0.3338843733320512;37,5;13,19;25302;9850584514;35146927
223;2025-07-31 04:48:45;lightning;574595;907894;0.3354009432940209;24,2;13,72;25115;9851476999;35148528
224;2025-07-31 04:49:48;lightning;575335;907894;0.3369485748177157;36,5;14,54;25214;9852487594;35149694
225;2025-07-31 04:50:48;lightning;576052;907894;0.3383600775444195;38,1;15,64;25486;9853314833;35150709
226;2025-07-31 04:51:49;lightning;576658;907895;0.3395850913309757;34,4;13,13;25382;9854090253;35151825
227;2025-07-31 04:52:49;lightning;577345;907895;0.3408876708061163;38,1;13,44;25403;9854923236;35152592
228;2025-07-31 04:53:49;lightning;578067;907895;0.342303923854658;38,1;13,66;25506;9855776451;35153411
229;2025-07-31 04:54:49;lightning;578805;907895;0.3437365432471683;19;13,67;25322;9856723414;35154615
230;2025-07-31 04:55:53;lightning;579558;907895;0.3451835999557645;36,5;13,13;25252;9857678823;35155465
231;2025-07-31 04:56:54;lightning;580388;907895;0.3467271950300773;34,9;13,18;25858;9858632222;35156266
232;2025-07-31 04:57:54;lightning;580996;907895;0.347875434888529;39,3;13,12;25783;9859416513;35157034
233;2025-07-31 04:58:54;lightning;581757;907895;0.3493488344525299;37,1;13,19;25427;9860362337;35157733
234;2025-07-31 04:59:55;lightning;582476;907895;0.3507175744583504;36,5;14,04;25699;9861246075;35158541
235;2025-07-31 05:00:58;lightning;582949;907895;0.3516677424169385;23,8;12,87;26236;9862704746;35163047
236;2025-07-31 05:02:06;lightning;583992;907895;0.353557943718631;38,1;12,77;26018;9863081984;35165107
237;2025-07-31 05:03:11;lightning;584828;907895;0.3550317358230085;25,4;12,99;25659;9864044207;35168438
238;2025-07-31 05:04:13;lightning;585708;907895;0.356676878736898;36,4;13,00;25922;9865045062;35171828
