ciclo;timestamp;profile;blocks;headers;verificationprogress;cpu_percent;mem_percent;disk_used_MB;net_rx_kB;net_tx_kB
196;2025-07-22 06:21:27;estandar;554857;906621;0.3009531781301117;50;13,12;255732;5694051730;21909789
197;2025-07-22 06:22:29;estandar;556339;906622;0.3029843008107751;19,4;13,45;256644;5694882648;21913583
198;2025-07-22 06:23:30;estandar;556965;906622;0.3038852633447844;39,1;12,89;258095;5695723716;21916393
199;2025-07-22 06:24:30;estandar;557883;906622;0.3052956914516071;17,5;13,15;258793;5696880895;21922625
200;2025-07-22 06:25:30;estandar;558780;906622;0.3068751985478126;14,1;12,78;260220;5698108243;21928627
201;2025-07-22 06:26:32;estandar;560067;906622;0.3090997412063928;34,4;13,23;261065;5698573276;21930594
202;2025-07-22 06:27:32;estandar;560889;906622;0.3105590711974158;37,1;13,86;262289;5699610766;21934138
203;2025-07-22 06:28:35;estandar;561733;906622;0.312115614716518;35,9;13,47;263111;5700385252;21938599
204;2025-07-22 06:29:35;estandar;562771;906622;0.3139009460710109;42,2;13,40;264406;5701447422;21943304
205;2025-07-22 06:30:36;estandar;563639;906623;0.3155170334153471;36,5;13,20;265379;5702198931;21945695
206;2025-07-22 06:31:36;estandar;564345;906623;0.3168427317537559;34,4;14,12;266525;5703461321;21950838
207;2025-07-22 06:32:37;estandar;565105;906623;0.3183332497638729;39,1;13,19;267413;5703845177;21951577
208;2025-07-22 06:33:43;estandar;565933;906623;0.3198499429208692;34,9;14,36;268388;5704978547;21955791
209;2025-07-22 06:34:44;estandar;566827;906623;0.3212530474975313;22,2;13,24;269150;5705676641;21958643
210;2025-07-22 06:35:45;estandar;567853;906623;0.3227796313622706;19;14,68;270509;5706905079;21963403
211;2025-07-22 06:36:48;estandar;568540;906624;0.3238163951240729;36,5;13,15;271577;5707354117;21964752
212;2025-07-22 06:37:48;estandar;569248;906624;0.3252065053845657;36,5;13,10;272337;5708236262;21967183
213;2025-07-22 06:38:48;estandar;569971;906624;0.3267759176159138;21;13,85;273471;5709390886;21971807
214;2025-07-22 06:39:49;estandar;570854;906624;0.3286050890535018;35,9;13,32;274512;5710149759;21974285
215;2025-07-22 06:40:56;estandar;571212;906624;0.3293715283638617;38,1;12,89;276318;5711640214;21981931
216;2025-07-22 06:41:56;estandar;572264;906624;0.3316127938629682;34,9;13,20;276575;5711845165;21982690
217;2025-07-22 06:42:56;estandar;573091;906624;0.3332992246674685;37,5;13,02;277724;5712831833;21987166
218;2025-07-22 06:43:56;estandar;573743;906625;0.3346314760914149;18,8;12,89;279180;5714332126;21994298
219;2025-07-22 06:44:58;estandar;574455;906625;0.3360851769142572;50;13,20;280400;5714606291;21994966
220;2025-07-22 06:45:58;estandar;575253;906625;0.3377564969395033;38,1;13,45;280707;5715453963;21997774
221;2025-07-22 06:47:10;estandar;576113;906625;0.3394655886537015;38,7;13,24;282233;5716557498;22002836
222;2025-07-22 06:48:12;estandar;576696;906625;0.3406342388831598;38,1;14,42;283000;5717295108;22004144
223;2025-07-22 06:49:12;estandar;577514;906625;0.3422241285746396;26,6;14,32;283956;5718281205;22007322
224;2025-07-22 06:50:12;estandar;578256;906625;0.3436755189209326;33,9;14,05;285312;5719184514;22011483
225;2025-07-22 06:51:13;estandar;578865;906625;0.3448497918902781;38,1;13,20;286032;5720003113;22013595
226;2025-07-22 06:52:13;estandar;579648;906625;0.3463603123009081;39,7;12,85;287454;5721170267;22017701
227;2025-07-22 06:53:14;estandar;580374;906625;0.3477134542633813;34,4;13,28;288288;5721779059;22019528
228;2025-07-22 06:54:14;estandar;580997;906625;0.3488944387199146;40,3;13,62;289045;5722558944;22021580
